,imputer_model,nll,mse
129,torch_mfa_18x18,-126.02350616455078,16.976360321044922
130,torch_mfa_18x18,41.03878402709961,25.500732421875
131,torch_mfa_18x18,569.40576171875,75.55939483642578
132,torch_mfa_18x18,775.2739868164062,71.37615966796875
133,torch_mfa_18x18,7573.341796875,84.5638656616211
134,torch_mfa_18x18,-118.58783721923828,25.31863021850586
135,torch_mfa_18x18,-412.78265380859375,9.100574493408203
136,torch_mfa_18x18,-58.65320587158203,18.900476455688477
137,torch_mfa_18x18,-129.01126098632812,20.27694320678711
138,torch_mfa_18x18,90.67050170898438,34.407012939453125
139,torch_mfa_18x18,-22.66726303100586,28.882171630859375
140,torch_mfa_18x18,-56.45125961303711,22.729394912719727
141,torch_mfa_18x18,-61.192867279052734,26.374114990234375
142,torch_mfa_18x18,243.0258026123047,29.777660369873047
143,torch_mfa_18x18,-395.21484375,10.889240264892578
144,torch_mfa_18x18,37.784420013427734,37.83259201049805
145,torch_mfa_18x18,-292.68548583984375,7.9192914962768555
146,torch_mfa_18x18,310.8111267089844,40.91810989379883
147,torch_mfa_18x18,476.84942626953125,45.099788665771484
148,torch_mfa_18x18,-216.50753784179688,6.4696245193481445
149,torch_mfa_18x18,225.88087463378906,48.775146484375
150,torch_mfa_18x18,5292.8828125,75.58757019042969
151,torch_mfa_18x18,70.70693969726562,46.77097702026367
152,torch_mfa_18x18,41.17228317260742,28.868499755859375
153,torch_mfa_18x18,561.2711791992188,64.53572845458984
154,torch_mfa_18x18,-374.79107666015625,23.59897804260254
155,torch_mfa_18x18,49.46556091308594,29.816308975219727
156,torch_mfa_18x18,-87.9966812133789,19.80503273010254
157,torch_mfa_18x18,-31.484121322631836,37.537174224853516
158,torch_mfa_18x18,269.8177490234375,64.21788024902344
159,torch_mfa_18x18,-59.933292388916016,14.762042045593262
160,torch_mfa_18x18,249.5956573486328,66.31248474121094
161,torch_mfa_18x18,-55.22321319580078,22.487396240234375
162,torch_mfa_18x18,-78.95316314697266,34.613502502441406
163,torch_mfa_18x18,798.6725463867188,71.34046173095703
164,torch_mfa_18x18,177.55039978027344,100.6961441040039
165,torch_mfa_18x18,1467.7734375,105.2945327758789
166,torch_mfa_18x18,18.863840103149414,89.95005798339844
167,torch_mfa_18x18,46.38979721069336,39.65774917602539
168,torch_mfa_18x18,-417.60552978515625,7.139028072357178
169,torch_mfa_18x18,7182.912109375,73.82001495361328
170,torch_mfa_18x18,3649.226806640625,52.01616668701172
171,torch_mfa_18x18,77.30730438232422,19.621807098388672
172,torch_mfa_18x18,1684.213134765625,98.4051513671875
173,torch_mfa_18x18,223.05789184570312,55.105709075927734
174,torch_mfa_18x18,4071.8681640625,140.77723693847656
175,torch_mfa_18x18,-171.3916778564453,9.695981979370117
176,torch_mfa_18x18,-216.97647094726562,2.942248821258545
177,torch_mfa_18x18,10717.0390625,147.4108428955078
178,torch_mfa_18x18,-490.55804443359375,6.80339241027832
179,torch_mfa_18x18,779.9100952148438,73.25727844238281
180,torch_mfa_18x18,-465.5299987792969,5.687185287475586
181,torch_mfa_18x18,236.15948486328125,55.84758377075195
182,torch_mfa_18x18,879.789794921875,44.5450439453125
183,torch_mfa_18x18,51.61725997924805,55.63825225830078
184,torch_mfa_18x18,688.727294921875,55.46487045288086
185,torch_mfa_18x18,10026.3212890625,68.7959213256836
186,torch_mfa_18x18,755.973388671875,77.60465240478516
187,torch_mfa_18x18,818.939208984375,75.81027221679688
188,torch_mfa_18x18,538.89453125,58.24993133544922
189,torch_mfa_18x18,-233.21060180664062,46.769615173339844
190,torch_mfa_18x18,966.8339233398438,31.803646087646484
191,torch_mfa_18x18,-374.5588073730469,45.47349548339844
192,torch_mfa_18x18,-172.7097625732422,15.248679161071777
193,torch_mfa_18x18,4130.380859375,68.64417266845703
194,torch_mfa_18x18,17.292659759521484,66.38997650146484
195,torch_mfa_18x18,243.60780334472656,72.89585876464844
196,torch_mfa_18x18,235.69728088378906,19.960676193237305
197,torch_mfa_18x18,116.09320068359375,26.535709381103516
198,torch_mfa_18x18,4474.81396484375,68.70353698730469
199,torch_mfa_18x18,602.4066772460938,46.957759857177734
200,torch_mfa_18x18,90.30681610107422,45.009315490722656
201,torch_mfa_18x18,-118.4148941040039,15.30529499053955
202,torch_mfa_18x18,-307.9197998046875,13.083601951599121
203,torch_mfa_18x18,-261.6050720214844,8.718708992004395
204,torch_mfa_18x18,-395.7168884277344,9.27922534942627
205,torch_mfa_18x18,200.1890869140625,111.95387268066406
206,torch_mfa_18x18,356.6164855957031,62.741966247558594
207,torch_mfa_18x18,296.04779052734375,37.63096237182617
208,torch_mfa_18x18,89.12505340576172,23.863813400268555
209,torch_mfa_18x18,105.72239685058594,29.473562240600586
210,torch_mfa_18x18,-51.33063507080078,37.98552703857422
211,torch_mfa_18x18,437.920166015625,36.666290283203125
212,torch_mfa_18x18,7.805635929107666,21.03934097290039
213,torch_mfa_18x18,1779.580078125,90.86076354980469
214,torch_mfa_18x18,-181.6128692626953,19.151338577270508
215,torch_mfa_18x18,14167.57421875,159.6952362060547
216,torch_mfa_18x18,-20.421321868896484,48.0188102722168
217,torch_mfa_18x18,-20.971038818359375,20.531925201416016
218,torch_mfa_18x18,347.7445373535156,66.62862396240234
219,torch_mfa_18x18,-81.74268341064453,20.606595993041992
220,torch_mfa_18x18,57.992347717285156,55.70096206665039
221,torch_mfa_18x18,7823.3583984375,107.52592468261719
222,torch_mfa_18x18,29.343210220336914,30.968826293945312
223,torch_mfa_18x18,487.77362060546875,56.04497146606445
224,torch_mfa_18x18,-281.6274108886719,4.075730800628662
225,torch_mfa_18x18,284.2556457519531,53.9154052734375
226,torch_mfa_18x18,-55.39705276489258,17.070011138916016
227,torch_mfa_18x18,2281.991455078125,36.09280776977539
